iter	RMSE
0	386.2692272
1	370.4860831
2	355.1721316
3	340.2713789
4	326.7138845
5	313.4209782
6	300.7800188
7	288.7622329
8	276.7205714
9	265.5624433
10	255.4322833
11	245.176121
12	235.4963736
13	226.3713497
14	217.6610241
15	209.2388687
16	201.2285258
17	193.8506499
18	186.9955915
19	180.2898765
20	173.7045739
21	167.6979783
22	162.4081666
23	156.9210985
24	151.5000628
25	146.0907486
26	141.1643714
27	136.3262311
28	131.8965953
29	127.3521998
30	123.0799249
31	119.1953348
32	115.2496117
33	111.7733752
34	108.7089139
35	105.4770293
36	102.5006445
37	99.54977002
38	96.6940234
39	94.1601013
40	91.64695464
41	89.16759946
42	86.89454464
43	84.81465672
44	82.83582299
45	81.01337772
46	79.0330667
47	77.26095792
48	75.60933142
49	73.94386516
50	72.50411649
51	70.97474852
52	69.62941208
53	68.39269989
54	67.33327252
55	66.27381967
56	65.29289341
57	64.12355532
58	62.99401139
59	62.14774306
60	61.35549526
61	60.46519875
62	59.64726707
63	58.88153989
64	58.23963816
65	57.53897287
66	56.99013107
67	56.5019399
68	55.93882575
69	55.52794841
70	54.98887386
71	54.54641994
72	54.15023171
73	53.91061587
74	53.57143217
75	53.13446769
76	52.73880891
77	52.36793841
78	52.02470186
79	51.68264604
80	51.32970068
81	50.95510532
82	50.73523215
83	50.46221919
84	50.17771736
85	49.98288693
86	49.8000711
87	49.50580609
88	49.30697
89	49.18885519
90	48.99610104
91	48.8340085
92	48.62593002
93	48.3129252
94	48.16776133
95	47.96595653
96	47.71125912
97	47.54821185
98	47.36625218
99	47.19806597
100	46.97767744
101	46.86427234
102	46.63486804
103	46.52319913
104	46.34800885
105	46.18115304
106	45.99641908
107	45.87180261
108	45.78696015
109	45.60944441
110	45.53624654
111	45.44843531
112	45.38280095
113	45.32455468
114	45.22458628
115	45.12637486
116	44.95542007
117	44.83645404
118	44.70999385
119	44.61615352
120	44.57623593
121	44.46763282
122	44.3347625
123	44.23193458
124	44.17063521
125	44.08800633
126	43.93200237
127	43.90345939
128	43.82613976
129	43.75619059
130	43.63191063
131	43.59038846
132	43.52439225
133	43.417367
134	43.31051661
135	43.1481249
136	43.11980053
137	43.05884445
138	43.01660305
139	42.97914701
140	42.9462104
141	42.92729881
142	42.86451787
143	42.81383482
144	42.68200488
145	42.60306765
146	42.57786891
147	42.52971368
148	42.41747132
149	42.3689327
150	42.32602753
151	42.19888838
152	42.15421451
153	42.03988901
154	42.00686155
155	41.97455436
156	41.85083078
157	41.73744312
158	41.64255636
159	41.58504608
160	41.54045536
161	41.4401683
162	41.35831085
163	41.31368245
164	41.1862366
165	41.14772316
166	41.11132845
167	41.06277866
